Kata,POS Tag,Frekuensi
benar,ADJ,4
semalam,NOUN,2
paginya,NOUN,1
kewarasan,PROPN,2
bantu,NOUN,19
penderita,NOUN,1
maaggerd,NOUN,1
mengenal,VERB,6
menuangkan,VERB,1
dirasakan,VERB,3
berbayar,PROPN,40
responya,PROPN,1
rileks,NOUN,9
kebanyakan,NOUN,4
gtu,NUM,2
sm,PROPN,2
appnya,PROPN,5
penuntun,NOUN,1
pemeditasi,NOUN,1
oemula,PROPN,1
mencapai,VERB,2
sebenernya,VERB,5
knp,PROPN,6
kaka,PROPN,1
room,NOUN,1
fb,PROPN,2
klw,PROPN,1
menangani,VERB,1
despresi,NOUN,1
tdk,VERB,14
mbak,PROPN,4
febian,PROPN,1
membatuku,NUM,1
wish,NOUN,1
and,PROPN,7
much,NOUN,5
hiiiii,PROPN,1
mengalami,VERB,9
gangguan,NOUN,7
mna,PROPN,1
menyalah,PROPN,1
tetep,NOUN,8
semangat,NOUN,14
sobat,NOUN,1
warm,PROPN,1
greetings,PROPN,1
everyone,PROPN,1
jam,NOUN,23
seharian,NOUN,5
ampe,NOUN,1
dibales,NOUN,10
suasana,NOUN,3
comfort,PROPN,1
kalut,NOUN,1
bgus,PROPN,4
ngisi,NOUN,2
kayak,NOUN,18
cewek,NOUN,1
cowok,NOUN,1
ayo,NOUN,4
blom,NOUN,3
buruan,NOUN,1
biar,NOUN,36
buggy,PROPN,1
bangettttt,NOUN,1
slalu,PROPN,2
dikasih,VERB,7
onlineku,NUM,1
mantepppp,PROPN,1
diatas,ADP,3
smp,NOUN,3
terpaksa,NOUN,2
delete,NOUN,2
maa,PROPN,1
syaa,NUM,1
allah,PROPN,6
ummat,NOUN,1
u,PROPN,5
sngat,NOUN,3
mmbantu,PROPN,4
sangatsangat,NOUN,1
berbagi,VERB,13
kebaikan,NOUN,2
niscya,NOUN,1
dilipat,VERB,1
gandakan,NUM,1
balasan,NOUN,5
tuhan,NOUN,1
syekali,NUM,1
konsultasi,NOUN,22
inisudh,NOUN,1
paketan,NOUN,1
nyamalah,NUM,1
diperhatikan,VERB,1
memuat,VERB,10
ujungnya,NOUN,2
edit,NOUN,1
aman,ADJ,3
besoknya,NOUN,1
bertuliskan,VERB,1
koneksi,NOUN,7
internet,NOUN,11
lancarlancar,NUM,1
info,NOUN,2
sembuh,VERB,4
buwat,NOUN,1
okey,NOUN,1
sya,NOUN,7
langganan,NOUN,9
berguna,ADJ,26
healing,NOUN,6
dll,NOUN,9
stress,NOUN,32
luangin,NOUN,1
sebentar,NOUN,1
istirahat,NOUN,1
guys,NOUN,5
jd,PROPN,15
ngerasa,NOUN,6
kyk,NOUN,5
perhatian,NOUN,3
down,NOUN,4
aplnya,PROPN,1
ko,PROPN,15
yahh,NUM,1
mulu,PROPN,18
yah,VERB,16
stabil,ADJ,3
kota,NOUN,4
kbupaten,PROPN,1
upgrade,NOUN,3
macet,NOUN,1
test,NOUN,1
apps,NOUN,18
yt,NOUN,1
sampe,VERB,16
game,NOUN,2
lag,NOUN,1
nunggu,VERB,10
sehatsehat,PROPN,1
thankyou,PROPN,2
media,NOUN,2
sosial,NOUN,5
rohani,NOUN,2
menyadari,VERB,4
maksimalkan,NOUN,2
utk,NOUN,13
diriku,NOUN,6
alat,NOUN,3
pembayarannya,NOUN,5
lemot,PROPN,9
kirain,PROPN,9
tulus,PROPN,2
nolong,NOUN,1
ajang,NOUN,1
terimakasi,PROPN,1
mencobanya,VERB,2
penyembuhan,NOUN,2
pemulihan,NOUN,2
melepaskan,VERB,3
muter,NOUN,2
akhirakhir,PROPN,1
apliaksinya,NOUN,1
duh,PROPN,3
mlu,NOUN,1
gbsa,PROPN,2
kebuka,PROPN,4
skli,PROPN,2
gmn,PROPN,8
byar,PROPN,5
aduh,PROPN,1
dibuka,VERB,25
mudahan,VERB,5
berdamai,VERB,1
luka,NOUN,2
masalalu,NUM,1
aksesnya,NOUN,1
sesuai,ADJ,5
kebutuhan,NOUN,6
mantab,PROPN,2
perbanyak,PROPN,2
pikiranku,NOUN,4
kawan,NOUN,6
batas,NOUN,4
mengelola,VERB,4
mengenali,VERB,3
mendadak,NOUN,2
log,NOUN,16
out,NOUN,2
otomatis,ADJ,4
membutuhkan,VERB,14
batin,NOUN,2
stes,NOUN,1
mengganggu,VERB,2
fikirannya,NUM,1
fasilitas,NOUN,1
aaa,PROPN,1
beruntung,ADJ,1
kenal,VERB,3
thanksss,PROPN,3
rilivvv,PROPN,1
deprsi,NOUN,1
frustasi,NOUN,2
menghantui,VERB,1
mantep,PROPN,1
pokonyaaaaa,NUM,1
trnyta,NUM,1
tidurku,NOUN,3
kestabilan,NOUN,1
emosiku,NOUN,1
powerfull,PROPN,1
kepribadian,PROPN,1
intj,PROPN,1
bs,VERB,15
dunia,NOUN,6
kerja,NOUN,4
pendidikan,NOUN,1
nyambung,NOUN,1
industri,NOUN,1
organisasi,NOUN,1
klinis,ADJ,1
menjadikan,VERB,1
menikmati,VERB,2
friend,NOUN,1
kuat,ADJ,1
ulasan,PROPN,1
hapus,VERB,5
barusan,NOUN,5
insya,NOUN,1
perlahan,ADV,3
batinku,NOUN,1
konselingnya,NUM,11
late,PROPN,2
reply,NOUN,1
respon,NOUN,36
ditentukan,VERB,1
terpenuhi,VERB,1
transfer,NOUN,7
bgitu,NOUN,1
terang,ADJ,1
apliaksi,NOUN,1
perantara,NOUN,1
kesusahan,NOUN,2
sumber,NOUN,1
masalahku,NOUN,4
tugastugasku,NUM,1
